"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Dec 06 16:48:03 IST 2022","Tue Dec 06 16:48:09 IST 2022","5854","","e2e test scenarios on an e-commerce website","","e2e test scenarios on an e-commerce website","As a registered user, I should be able to place an order.","As a registered user, I should be able to place an order.",""
"passed","Tue Dec 06 16:48:36 IST 2022","Tue Dec 06 16:48:37 IST 2022","347","","Home loan calculator","","Home loan calculator","Check to see if the Start over button clear the form and reset the value to $0.","Check to see if the Start over button clear the form and reset the value to $0.",""
"passed","Tue Dec 06 16:48:18 IST 2022","Tue Dec 06 16:48:36 IST 2022","18787","","Home loan calculator","","Home loan calculator","As a user, I should be able to find How much could I borrow?","As a user, I should be able to find How much could I borrow?",""
"passed","Tue Dec 06 16:48:37 IST 2022","Tue Dec 06 16:48:49 IST 2022","12098","","Home loan calculator","","Home loan calculator","After submitting the form, check the error message for $1 livingExpenses","After submitting the form, check the error message for $1 livingExpenses",""
"broken","Tue Dec 06 16:47:45 IST 2022","Tue Dec 06 16:47:54 IST 2022","8531","","New user registration","","New user registration","As a user, I should be able to register as a new customer","As a user, I should be able to register as a new customer",""
